Date,AAPL,MSFT,NVDA,JPM,GS,JNJ,PFE,KO,PG,WMT,XOM,CAT
2023-07-18,191.05160522460938,351.1806335449219,47.4568977355957,144.4940948486328,315.77032470703125,145.72402954101562,30.069686889648438,55.80998611450195,138.09471130371094,49.86806106567383,91.2923583984375,252.1430206298828
2023-07-19,192.40269470214844,346.8725280761719,47.04022979736328,145.04891967773438,318.8411865234375,145.4308624267578,30.235628128051758,56.79589080810547,139.03831481933594,49.88418960571289,91.92559051513672,252.37356567382812
2023-07-20,190.45993041992188,338.85223388671875,45.48444747924805,146.83558654785156,328.4940490722656,154.26260375976562,30.509445190429688,57.48695373535156,140.1657257080078,50.80689239501953,93.54483032226562,250.7791290283203
2023-07-21,189.28634643554688,335.823974609375,44.274391174316406,145.70712280273438,329.5238952636719,155.92088317871094,31.032182693481445,57.533023834228516,142.37210083007812,51.09403610229492,93.9790267944336,247.47496032714844
2023-07-24,190.08517456054688,337.1329650878906,44.5771598815918,148.57521057128906,336.0495910644531,156.73623657226562,31.12344741821289,57.551456451416016,142.8282470703125,51.394065856933594,95.45353698730469,249.1270751953125
2023-07-25,190.94314575195312,342.8672790527344,45.64331817626953,147.46560668945312,332.0892333984375,157.93641662597656,30.75006866455078,57.35795593261719,143.16343688964844,51.35212707519531,95.59827423095703,251.7108154296875
2023-07-26,191.8109588623047,329.9626770019531,45.416500091552734,148.3495330810547,334.7668762207031,158.23873901367188,30.874534606933594,58.0950813293457,143.31234741210938,51.5360221862793,95.06454467773438,248.11854553222656
2023-07-27,190.54864501953125,323.07562255859375,45.86414337158203,146.7133331298828,331.9112854003906,159.12741088867188,30.371143341064453,57.533023834228516,141.60870361328125,51.348907470703125,95.3630599975586,248.0993194580078
2023-07-28,193.12258911132812,330.54876708984375,46.71348190307617,147.55026245117188,330.71295166015625,159.85118103027344,30.262073516845703,57.569881439208984,145.61183166503906,51.59087371826172,94.2232666015625,250.14517211914062
2023-07-31,193.7340087890625,328.1553955078125,46.6925048828125,148.53759765625,333.18463134765625,153.48388671875,30.253681182861328,57.063106536865234,145.5094451904297,51.574745178222656,97.00943756103516,254.6980438232422
2023-08-01,192.90560913085938,328.5657043457031,46.47066879272461,147.8041229248047,334.91668701171875,154.7298583984375,29.876142501831055,56.91567611694336,145.46287536621094,51.3327751159668,96.44859313964844,277.250732421875
2023-08-02,189.91749572753906,319.9300231933594,44.23442077636719,146.1302947998047,328.71868896484375,155.6643524169922,29.658000946044922,57.09074401855469,145.77940368652344,51.36826705932617,95.24547576904297,276.2134094238281
